x,y,z
9385,16,5609
6658,33,9641
6658,33,9640
6658,33,9639
6657,33,9641
6657,33,9640
6657,33,9639
6656,33,9641
6656,33,9640
6656,33,9639
-6326,28,8598
-1545,31,-1398
-1545,31,-1399
-1545,31,-1400
-1546,31,-1398
-1546,31,-1399
-1546,31,-1400
-1547,31,-1398
-1547,31,-1399
-1547,31,-1400
-449,44,2517
-449,44,2516
-449,44,2515
-450,44,2517
-450,44,2516
-450,44,2515
-451,44,2517
-451,44,2516
-451,44,2515
-8205,32,-1511
-8205,32,-1512
-8205,32,-1513
-8206,32,-1511
-8206,32,-1512
-8206,32,-1513
-8207,32,-1511
-8207,32,-1512
-8207,32,-1513
